StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Informed_consent,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5
2020-03-05 00:01:47,2020-03-05 00:18:25,IP Address,*******,100,997,True,2020-03-05 00:18:25,R_2v1Rq0uaMAZmYKZ,*******,*******,*******,*******,*******,*******,anonymous,EN,I have read the information above and want to participate in the survey,10 (similar),7,2,7,6,8,6,6,8,8,10 (similar),3,9,6,3,3,4,2,2,4,4,4,1 (Dissimilar),1 (Dissimilar),5,6,4,7,7,5,3,2,3,6,1 (Dissimilar),2,3,5,4,1 (Dissimilar),4,7,1 (Dissimilar),4,5,1 (Dissimilar),3,3,3,7,2,2,5,3,8,2,2,3,3,2
2020-03-05 09:40:06,2020-03-05 09:44:10,IP Address,*******,100,244,True,2020-03-05 09:44:12,R_3dWYqIDAzaZQojl,*******,*******,*******,*******,*******,*******,anonymous,EN,I have read the information above and want to participate in the survey,7,10 (similar),1 (Dissimilar),8,7,7,2,1 (Dissimilar),4,5,6,4,4,7,4,1 (Dissimilar),1 (Dissimilar),1 (Dissimilar),8,1 (Dissimilar),1 (Dissimilar),6,1 (Dissimilar),1 (Dissimilar),1 (Dissimilar),2,1 (Dissimilar),6,10 (similar),7,6,1 (Dissimilar),3,1 (Dissimilar),1 (Dissimilar),1 (Dissimilar),5,2,6,1 (Dissimilar),1 (Dissimilar),1 (Dissimilar),1 (Dissimilar),4,1 (Dissimilar),4,6,7,1 (Dissimilar),1 (Dissimilar),2,6,1 (Dissimilar),5,4,1 (Dissimilar),2,1 (Dissimilar),4,4
2020-03-05 10:03:21,2020-03-05 10:10:55,IP Address,*******,100,453,True,2020-03-05 10:10:55,R_23UXGmbW0Vwd1sF,*******,*******,*******,*******,*******,*******,anonymous,EN,I have read the information above and want to participate in the survey,5,6,1 (Dissimilar),3,1 (Dissimilar),1 (Dissimilar),1 (Dissimilar),1 (Dissimilar),5,5,7,5,3,8,1 (Dissimilar),1 (Dissimilar),3,6,2,2,7,5,2,2,2,2,2,7,8,3,6,3,6,8,2,4,6,1 (Dissimilar),2,2,5,5,2,6,6,6,5,6,3,6,5,6,6,7,3,2,5,2,7,5
2020-03-05 10:40:02,2020-03-05 10:55:34,IP Address,*******,100,931,True,2020-03-05 10:55:34,R_2OGDXvyYLX6eJsJ,*******,*******,*******,*******,*******,*******,anonymous,EN,I have read the information above and want to participate in the survey,3,8,1 (Dissimilar),1 (Dissimilar),1 (Dissimilar),2,1 (Dissimilar),1 (Dissimilar),1 (Dissimilar),1 (Dissimilar),2,1 (Dissimilar),1 (Dissimilar),8,1 (Dissimilar),1 (Dissimilar),1 (Dissimilar),1 (Dissimilar),7,1 (Dissimilar),1 (Dissimilar),1 (Dissimilar),5,1 (Dissimilar),1 (Dissimilar),1 (Dissimilar),1 (Dissimilar),2,1 (Dissimilar),7,1 (Dissimilar),1 (Dissimilar),8,1 (Dissimilar),1 (Dissimilar),1 (Dissimilar),2,1 (Dissimilar),1 (Dissimilar),1 (Dissimilar),2,1 (Dissimilar),1 (Dissimilar),1 (Dissimilar),1 (Dissimilar),1 (Dissimilar),8,1 (Dissimilar),1 (Dissimilar),1 (Dissimilar),1 (Dissimilar),1 (Dissimilar),4,2,1 (Dissimilar),2,1 (Dissimilar),1 (Dissimilar),1 (Dissimilar),4
2020-03-05 12:00:51,2020-03-05 12:04:25,IP Address,*******,100,213,True,2020-03-05 12:04:25,R_2Qolu67jhU3rPQi,*******,*******,*******,*******,*******,*******,anonymous,EN,I have read the information above and want to participate in the survey,7,6,1 (Dissimilar),4,3,3,2,2,6,4,8,6,7,7,2,3,2,1 (Dissimilar),7,4,2,6,4,1 (Dissimilar),2,2,6,6,8,6,9,1 (Dissimilar),2,1 (Dissimilar),1 (Dissimilar),4,6,3,4,1 (Dissimilar),3,2,2,4,1 (Dissimilar),6,6,8,1 (Dissimilar),1 (Dissimilar),7,2,6,8,6,2,2,1 (Dissimilar),5,7
2020-03-05 12:28:55,2020-03-05 12:43:53,IP Address,*******,100,898,True,2020-03-05 12:43:53,R_24j8mfqr2PAYNib,*******,*******,*******,*******,*******,*******,anonymous,EN,I have read the information above and want to participate in the survey,7,6,2,5,3,5,2,3,6,7,7,5,6,8,5,5,5,2,5,4,6,5,5,2,4,5,6,7,8,6,5,1 (Dissimilar),4,5,2,6,7,3,5,2,5,6,5,6,2,6,5,5,5,2,5,6,5,6,6,5,5,6,6,6
2020-03-05 13:18:01,2020-03-05 13:26:11,IP Address,*******,100,489,True,2020-03-05 13:26:11,R_1dFQVq5LV7ZxDjY,*******,*******,*******,*******,*******,*******,anonymous,EN,I have read the information above and want to participate in the survey,9,4,1 (Dissimilar),10 (similar),6,1 (Dissimilar),10 (similar),4,10 (similar),10 (similar),10 (similar),10 (similar),10 (similar),6,10 (similar),7,10 (similar),5,9,10 (similar),10 (similar),8,6,3,10 (similar),7,2,10 (similar),8,6,10 (similar),1 (Dissimilar),8,10 (similar),1 (Dissimilar),6,9,7,9,1 (Dissimilar),5,9,5,10 (similar),2,8,7,9,4,1 (Dissimilar),8,6,8,10 (similar),6,5,5,6,9,6
2020-03-05 15:06:27,2020-03-05 15:13:44,IP Address,*******,100,437,True,2020-03-05 15:13:45,R_cGCfjW7LEuCZrnX,*******,*******,*******,*******,*******,*******,anonymous,EN,I have read the information above and want to participate in the survey,6,8,1 (Dissimilar),4,7,8,1 (Dissimilar),2,6,5,6,2,6,7,1 (Dissimilar),1 (Dissimilar),2,3,4,1 (Dissimilar),6,2,4,2,2,4,2,5,8,4,6,1 (Dissimilar),8,3,2,7,5,7,4,1 (Dissimilar),4,7,3,3,1 (Dissimilar),6,3,4,3,3,6,6,6,7,6,5,3,6,8,6
2020-03-05 16:15:38,2020-03-05 16:22:28,IP Address,*******,100,410,True,2020-03-05 16:22:28,R_uakTyshkZcki6c1,*******,*******,*******,*******,*******,*******,anonymous,EN,I have read the information above and want to participate in the survey,7,7,1 (Dissimilar),3,4,6,5,4,5,6,8,5,7,8,4,5,5,2,8,5,5,8,4,4,4,5,5,8,7,4,6,2,6,2,1 (Dissimilar),6,8,4,6,5,4,8,3,6,3,6,5,6,6,2,6,7,7,9,8,5,5,3,4,3
2020-03-05 16:14:04,2020-03-05 16:23:36,IP Address,*******,100,572,True,2020-03-05 16:23:36,R_3qOkLP1zVWnWmfF,*******,*******,*******,*******,*******,*******,anonymous,EN,I have read the information above and want to participate in the survey,6,8,1 (Dissimilar),4,3,5,2,4,5,6,7,4,6,7,3,3,4,1 (Dissimilar),7,6,4,7,4,1 (Dissimilar),3,4,4,7,9,2,7,1 (Dissimilar),4,1 (Dissimilar),1 (Dissimilar),5,6,3,3,2,1 (Dissimilar),3,2,3,1 (Dissimilar),6,8,5,3,1 (Dissimilar),6,8,5,8,5,6,2,2,3,6
2020-03-05 16:45:13,2020-03-05 16:51:50,IP Address,*******,100,396,True,2020-03-05 16:51:50,R_1r9CYXBKwvxtUxC,*******,*******,*******,*******,*******,*******,anonymous,EN,I have read the information above and want to participate in the survey,8,8,2,4,6,9,1 (Dissimilar),2,4,5,8,4,8,7,1 (Dissimilar),1 (Dissimilar),2,1 (Dissimilar),6,6,2,6,5,5,6,2,3,7,7,3,7,1 (Dissimilar),6,1 (Dissimilar),1 (Dissimilar),5,6,6,6,1 (Dissimilar),8,8,7,6,1 (Dissimilar),6,4,3,1 (Dissimilar),1 (Dissimilar),1 (Dissimilar),6,7,8,7,2,4,2,7,3
2020-03-05 18:35:01,2020-03-05 18:48:44,IP Address,*******,100,823,True,2020-03-05 18:48:45,R_3gLt0fa2HS6wXMl,*******,*******,*******,*******,*******,*******,anonymous,EN,I have read the information above and want to participate in the survey,8,10 (similar),2,5,8,5,1 (Dissimilar),1 (Dissimilar),6,3,5,4,6,9,1 (Dissimilar),8,1 (Dissimilar),1 (Dissimilar),5,5,9,3,5,1 (Dissimilar),1 (Dissimilar),1 (Dissimilar),1 (Dissimilar),7,10 (similar),10 (similar),5,2,2,1 (Dissimilar),1 (Dissimilar),2,6,6,4,1 (Dissimilar),1 (Dissimilar),1 (Dissimilar),1 (Dissimilar),4,1 (Dissimilar),3,1 (Dissimilar),2,1 (Dissimilar),1 (Dissimilar),1 (Dissimilar),5,1 (Dissimilar),9,9,1 (Dissimilar),1 (Dissimilar),2,9,2
